Ponto / Grupo;Data;Hora;Ativa C (kWh)
PEVVGNTR1--03 (L);05/01/2024;10;6.943,40
PEVVGNTR1--03 (L);05/01/2024;11;2.967,34
PEVVGNTR1--03 (L);05/01/2024;12;6.624,35
PEVVGNTR1--03 (L);05/01/2024;13;6.587,66
PEVVGNTR1--03 (L);05/01/2024;14;6.655,87
PEVVGNTR1--03 (L);05/01/2024;15;6.827,87
PEVVGNTR1--03 (L);05/01/2024;16;7.015,46
PEVVGNTR1--03 (L);05/01/2024;17;6.844,89
PEVVGNTR1--03 (L);05/01/2024;18;6.821,51
PEVVGNTR1--03 (L);05/01/2024;19;6.751,83
PEVVGNTR1--03 (L);05/01/2024;20;6.659,39
PEVVGNTR1--03 (L);05/01/2024;21;6.700,24
PEVVGNTR1--03 (L);05/01/2024;22;6.876,91
PEVVGNTR1--03 (L);05/01/2024;23;6.911,18
PEVVGNTR1--03 (L);05/01/2024;24;6.597,43
PEVVGNTR1--03 (L);06/01/2024;1;6.661,54
PEVVGNTR1--03 (L);06/01/2024;2;6.828,71
PEVVGNTR1--03 (L);06/01/2024;3;6.637,25
PEVVGNTR1--03 (L);06/01/2024;4;6.712,32
PEVVGNTR1--03 (L);06/01/2024;5;6.715,50
PEVVGNTR1--03 (L);06/01/2024;6;6.691,65
PEVVGNTR1--03 (L);06/01/2024;7;6.496,36
PEVVGNTR1--03 (L);06/01/2024;8;6.590,22
PEVVGNTR1--03 (L);06/01/2024;9;6.737,19
PEVVGNTR1--03 (L);06/01/2024;10;6.923,01
PEVVGNTR1--03 (L);06/01/2024;11;6.860,28
PEVVGNTR1--03 (L);06/01/2024;12;6.810,31
PEVVGNTR1--03 (L);06/01/2024;13;6.762,07
PEVVGNTR1--03 (L);06/01/2024;14;6.921,66
PEVVGNTR1--03 (L);06/01/2024;15;6.986,69
PEVVGNTR1--03 (L);06/01/2024;16;6.727,73
PEVVGNTR1--03 (L);06/01/2024;17;6.753,70
PEVVGNTR1--03 (L);06/01/2024;18;6.698,99
PEVVGNTR1--03 (L);06/01/2024;19;6.609,95
PEVVGNTR1--03 (L);06/01/2024;20;6.573,24
PEVVGNTR1--03 (L);06/01/2024;21;6.769,72
PEVVGNTR1--03 (L);06/01/2024;22;6.869,51
PEVVGNTR1--03 (L);06/01/2024;23;6.718,64
PEVVGNTR1--03 (L);06/01/2024;24;6.623,80
PEVVGNTR1--03 (L);07/01/2024;1;6.690,67
PEVVGNTR1--03 (L);07/01/2024;2;6.640,98
PEVVGNTR1--03 (L);07/01/2024;3;6.421,23
PEVVGNTR1--03 (L);07/01/2024;4;6.508,48
PEVVGNTR1--03 (L);07/01/2024;5;6.429,45
PEVVGNTR1--03 (L);07/01/2024;6;6.392,25
PEVVGNTR1--03 (L);07/01/2024;7;6.416,35
PEVVGNTR1--03 (L);07/01/2024;8;6.509,66
PEVVGNTR1--03 (L);07/01/2024;9;6.547,68
PEVVGNTR1--03 (L);07/01/2024;10;6.474,78
PEVVGNTR1--03 (L);07/01/2024;11;6.717,20
PEVVGNTR1--03 (L);07/01/2024;12;6.734,23
PEVVGNTR1--03 (L);07/01/2024;13;6.719,05
PEVVGNTR1--03 (L);07/01/2024;14;6.610,99
PEVVGNTR1--03 (L);07/01/2024;15;6.550,32
PEVVGNTR1--03 (L);07/01/2024;16;6.611,32
PEVVGNTR1--03 (L);07/01/2024;17;6.545,76
PEVVGNTR1--03 (L);07/01/2024;18;6.474,83
PEVVGNTR1--03 (L);07/01/2024;19;6.404,15
PEVVGNTR1--03 (L);07/01/2024;20;6.154,25
PEVVGNTR1--03 (L);07/01/2024;21;6.127,78
PEVVGNTR1--03 (L);07/01/2024;22;6.347,21
PEVVGNTR1--03 (L);07/01/2024;23;6.335,43
PEVVGNTR1--03 (L);07/01/2024;24;6.343,56
PEVVGNTR1--03 (L);08/01/2024;1;6.331,96
PEVVGNTR1--03 (L);08/01/2024;2;6.373,61
PEVVGNTR1--03 (L);08/01/2024;3;6.450,54
PEVVGNTR1--03 (L);08/01/2024;4;6.581,26
PEVVGNTR1--03 (L);08/01/2024;5;6.567,55
PEVVGNTR1--03 (L);08/01/2024;6;6.183,94
PEVVGNTR1--03 (L);08/01/2024;7;5.869,76
PEVVGNTR1--03 (L);08/01/2024;8;5.875,32
PEVVGNTR1--03 (L);08/01/2024;9;6.102,13
PEVVGNTR1--03 (L);08/01/2024;10;6.351,32
PEVVGNTR1--03 (L);08/01/2024;11;6.878,00
PEVVGNTR1--03 (L);08/01/2024;12;6.914,44
PEVVGNTR1--03 (L);08/01/2024;13;6.619,10
PEVVGNTR1--03 (L);08/01/2024;14;6.610,77
PEVVGNTR1--03 (L);08/01/2024;15;7.172,67
PEVVGNTR1--03 (L);08/01/2024;16;7.173,65
PEVVGNTR1--03 (L);08/01/2024;17;6.961,93
PEVVGNTR1--03 (L);08/01/2024;18;6.932,08
PEVVGNTR1--03 (L);08/01/2024;19;6.916,71
PEVVGNTR1--03 (L);08/01/2024;20;6.874,70
PEVVGNTR1--03 (L);08/01/2024;21;6.689,93
PEVVGNTR1--03 (L);08/01/2024;22;6.603,06
PEVVGNTR1--03 (L);08/01/2024;23;6.733,90
PEVVGNTR1--03 (L);08/01/2024;24;6.588,60
PEVVGNTR1--03 (L);09/01/2024;1;6.766,58
PEVVGNTR1--03 (L);09/01/2024;2;6.979,12
PEVVGNTR1--03 (L);09/01/2024;3;6.840,47
PEVVGNTR1--03 (L);09/01/2024;4;6.765,05
PEVVGNTR1--03 (L);09/01/2024;5;6.712,14
PEVVGNTR1--03 (L);09/01/2024;6;6.650,45
PEVVGNTR1--03 (L);09/01/2024;7;6.730,20
PEVVGNTR1--03 (L);09/01/2024;8;6.829,11
PEVVGNTR1--03 (L);09/01/2024;9;6.803,05
PEVVGNTR1--03 (L);09/01/2024;10;6.782,66
PEVVGNTR1--03 (L);09/01/2024;11;6.563,12
PEVVGNTR1--03 (L);09/01/2024;12;6.964,56
PEVVGNTR1--03 (L);09/01/2024;13;7.165,96
PEVVGNTR1--03 (L);09/01/2024;14;7.078,05
PEVVGNTR1--03 (L);09/01/2024;15;7.176,59
PEVVGNTR1--03 (L);09/01/2024;16;7.142,62
PEVVGNTR1--03 (L);09/01/2024;17;7.054,30
PEVVGNTR1--03 (L);09/01/2024;18;6.840,99
PEVVGNTR1--03 (L);09/01/2024;19;6.745,90
PEVVGNTR1--03 (L);09/01/2024;20;6.782,00
PEVVGNTR1--03 (L);09/01/2024;21;6.949,30
PEVVGNTR1--03 (L);09/01/2024;22;6.813,58
PEVVGNTR1--03 (L);09/01/2024;23;6.717,20
PEVVGNTR1--03 (L);09/01/2024;24;6.713,24
PEVVGNTR1--03 (L);10/01/2024;1;6.732,50
PEVVGNTR1--03 (L);10/01/2024;2;6.795,10
PEVVGNTR1--03 (L);10/01/2024;3;6.667,19
PEVVGNTR1--03 (L);10/01/2024;4;6.647,39
PEVVGNTR1--03 (L);10/01/2024;5;6.708,91
PEVVGNTR1--03 (L);10/01/2024;6;6.834,16
PEVVGNTR1--03 (L);10/01/2024;7;6.800,40
PEVVGNTR1--03 (L);10/01/2024;8;6.713,98
PEVVGNTR1--03 (L);10/01/2024;9;6.863,98
PEVVGNTR1--03 (L);10/01/2024;10;6.898,16
PEVVGNTR1--03 (L);10/01/2024;11;7.123,36
PEVVGNTR1--03 (L);10/01/2024;12;7.562,87
PEVVGNTR1--03 (L);10/01/2024;13;7.815,63
PEVVGNTR1--03 (L);10/01/2024;14;7.636,82
PEVVGNTR1--03 (L);10/01/2024;15;7.861,71
PEVVGNTR1--03 (L);10/01/2024;16;7.733,16
PEVVGNTR1--03 (L);10/01/2024;17;7.444,00
PEVVGNTR1--03 (L);10/01/2024;18;7.042,60
PEVVGNTR1--03 (L);10/01/2024;19;7.039,96
PEVVGNTR1--03 (L);10/01/2024;20;6.877,89
PEVVGNTR1--03 (L);10/01/2024;21;6.762,11
PEVVGNTR1--03 (L);10/01/2024;22;6.906,55
PEVVGNTR1--03 (L);10/01/2024;23;6.859,18
PEVVGNTR1--03 (L);10/01/2024;24;6.780,81
