Ponto / Grupo;Data;Hora;Ativa C (kWh)
PEVVGNTR1--03 (L);02/04/2024;24;12,23
PEVVGNTR1--03 (L);03/04/2024;1;12,295
PEVVGNTR1--03 (L);03/04/2024;2;12,29
PEVVGNTR1--03 (L);03/04/2024;3;12,58
PEVVGNTR1--03 (L);03/04/2024;4;12,767
PEVVGNTR1--03 (L);03/04/2024;5;12,028
PEVVGNTR1--03 (L);03/04/2024;6;12,288
PEVVGNTR1--03 (L);03/04/2024;7;12,669
PEVVGNTR1--03 (L);03/04/2024;8;12,687
PEVVGNTR1--03 (L);03/04/2024;9;12,464
PEVVGNTR1--03 (L);03/04/2024;10;13,152
PEVVGNTR1--03 (L);03/04/2024;11;13,396
PEVVGNTR1--03 (L);03/04/2024;12;13,687
PEVVGNTR1--03 (L);03/04/2024;13;13,761
PEVVGNTR1--03 (L);03/04/2024;14;13,279
PEVVGNTR1--03 (L);03/04/2024;15;12,95
PEVVGNTR1--03 (L);03/04/2024;16;13,224
PEVVGNTR1--03 (L);03/04/2024;17;12,801
PEVVGNTR1--03 (L);03/04/2024;18;12,153
PEVVGNTR1--03 (L);03/04/2024;19;12,175
PEVVGNTR1--03 (L);03/04/2024;20;12,133
PEVVGNTR1--03 (L);03/04/2024;21;11,948
PEVVGNTR1--03 (L);03/04/2024;22;11,905
PEVVGNTR1--03 (L);03/04/2024;23;12,314
PEVVGNTR1--03 (L);03/04/2024;24;12,579
PEVVGNTR1--03 (L);04/04/2024;1;12,639
PEVVGNTR1--03 (L);04/04/2024;2;12,814
PEVVGNTR1--03 (L);04/04/2024;3;12,939
PEVVGNTR1--03 (L);04/04/2024;4;12,884
PEVVGNTR1--03 (L);04/04/2024;5;13,01
PEVVGNTR1--03 (L);04/04/2024;6;13,348
PEVVGNTR1--03 (L);04/04/2024;7;13,734
PEVVGNTR1--03 (L);04/04/2024;8;13,234
PEVVGNTR1--03 (L);04/04/2024;9;12,098
PEVVGNTR1--03 (L);04/04/2024;10;12,758
PEVVGNTR1--03 (L);04/04/2024;11;12,419
PEVVGNTR1--03 (L);04/04/2024;12;11,878
PEVVGNTR1--03 (L);04/04/2024;13;12,04
PEVVGNTR1--03 (L);04/04/2024;14;11,909
PEVVGNTR1--03 (L);04/04/2024;15;11,785
PEVVGNTR1--03 (L);04/04/2024;16;11,901
PEVVGNTR1--03 (L);04/04/2024;17;11,954
PEVVGNTR1--03 (L);04/04/2024;18;12,222
PEVVGNTR1--03 (L);04/04/2024;19;12,383
PEVVGNTR1--03 (L);04/04/2024;20;12,557
PEVVGNTR1--03 (L);04/04/2024;21;12,575
PEVVGNTR1--03 (L);04/04/2024;22;12,25
PEVVGNTR1--03 (L);04/04/2024;23;12,314
PEVVGNTR1--03 (L);04/04/2024;24;12,277
PEVVGNTR1--03 (L);05/04/2024;1;12,072
PEVVGNTR1--03 (L);05/04/2024;2;11,956
PEVVGNTR1--03 (L);05/04/2024;3;11,958
PEVVGNTR1--03 (L);05/04/2024;4;12,123
PEVVGNTR1--03 (L);05/04/2024;5;12,199
PEVVGNTR1--03 (L);05/04/2024;6;12,401
PEVVGNTR1--03 (L);05/04/2024;7;12,856
PEVVGNTR1--03 (L);05/04/2024;8;13,18
PEVVGNTR1--03 (L);05/04/2024;9;12,94
PEVVGNTR1--03 (L);05/04/2024;10;12,66
PEVVGNTR1--03 (L);05/04/2024;11;12,49
PEVVGNTR1--03 (L);05/04/2024;12;12,808
PEVVGNTR1--03 (L);05/04/2024;13;12,945
PEVVGNTR1--03 (L);05/04/2024;14;12,827
PEVVGNTR1--03 (L);05/04/2024;15;13,108
PEVVGNTR1--03 (L);05/04/2024;16;13,718
PEVVGNTR1--03 (L);05/04/2024;17;13,018
PEVVGNTR1--03 (L);05/04/2024;18;12,049
PEVVGNTR1--03 (L);05/04/2024;19;11,96
PEVVGNTR1--03 (L);05/04/2024;20;12,059
PEVVGNTR1--03 (L);05/04/2024;21;12,038
PEVVGNTR1--03 (L);05/04/2024;22;11,847
PEVVGNTR1--03 (L);05/04/2024;23;11,846
PEVVGNTR1--03 (L);05/04/2024;24;11,871
PEVVGNTR1--03 (L);06/04/2024;1;11,977
PEVVGNTR1--03 (L);06/04/2024;2;11,86
PEVVGNTR1--03 (L);06/04/2024;3;11,822
PEVVGNTR1--03 (L);06/04/2024;4;11,727
PEVVGNTR1--03 (L);06/04/2024;5;11,854
PEVVGNTR1--03 (L);06/04/2024;6;12,064
PEVVGNTR1--03 (L);06/04/2024;7;12,363
PEVVGNTR1--03 (L);06/04/2024;8;13,101
PEVVGNTR1--03 (L);06/04/2024;9;12,924
PEVVGNTR1--03 (L);06/04/2024;10;12,607
PEVVGNTR1--03 (L);06/04/2024;11;13,101
PEVVGNTR1--03 (L);06/04/2024;12;13,171
PEVVGNTR1--03 (L);06/04/2024;13;13,265
PEVVGNTR1--03 (L);06/04/2024;14;13,061
PEVVGNTR1--03 (L);06/04/2024;15;13,073
PEVVGNTR1--03 (L);06/04/2024;16;13,3
PEVVGNTR1--03 (L);06/04/2024;17;12,346
PEVVGNTR1--03 (L);06/04/2024;18;11,81
PEVVGNTR1--03 (L);06/04/2024;19;11,637
PEVVGNTR1--03 (L);06/04/2024;20;11,673
PEVVGNTR1--03 (L);06/04/2024;21;11,72
PEVVGNTR1--03 (L);06/04/2024;22;11,656
PEVVGNTR1--03 (L);06/04/2024;23;11,618
PEVVGNTR1--03 (L);06/04/2024;24;11,683
PEVVGNTR1--03 (L);07/04/2024;1;11,742
PEVVGNTR1--03 (L);07/04/2024;2;11,751
PEVVGNTR1--03 (L);07/04/2024;3;11,726
PEVVGNTR1--03 (L);07/04/2024;4;12,007
PEVVGNTR1--03 (L);07/04/2024;5;11,449
PEVVGNTR1--03 (L);07/04/2024;6;11,368
PEVVGNTR1--03 (L);07/04/2024;7;11,71
PEVVGNTR1--03 (L);07/04/2024;8;12,352
PEVVGNTR1--03 (L);07/04/2024;9;12,319
PEVVGNTR1--03 (L);07/04/2024;10;12,19
PEVVGNTR1--03 (L);07/04/2024;11;12,316
PEVVGNTR1--03 (L);07/04/2024;12;12,419
PEVVGNTR1--03 (L);07/04/2024;13;12,453
PEVVGNTR1--03 (L);07/04/2024;14;12,49
PEVVGNTR1--03 (L);07/04/2024;15;12,545
PEVVGNTR1--03 (L);07/04/2024;16;11,971
PEVVGNTR1--03 (L);07/04/2024;17;11,262
PEVVGNTR1--03 (L);07/04/2024;18;11,418
PEVVGNTR1--03 (L);07/04/2024;19;12,07
PEVVGNTR1--03 (L);07/04/2024;20;12,295
PEVVGNTR1--03 (L);07/04/2024;21;12,347
PEVVGNTR1--03 (L);07/04/2024;22;12,226
PEVVGNTR1--03 (L);07/04/2024;23;12,073
PEVVGNTR1--03 (L);07/04/2024;24;12,109
PEVVGNTR1--03 (L);08/04/2024;1;12,415
PEVVGNTR1--03 (L);08/04/2024;2;12,652
PEVVGNTR1--03 (L);08/04/2024;3;12,605
PEVVGNTR1--03 (L);08/04/2024;4;12,518
PEVVGNTR1--03 (L);08/04/2024;5;12,613
PEVVGNTR1--03 (L);08/04/2024;6;12,344
PEVVGNTR1--03 (L);08/04/2024;7;12,134
PEVVGNTR1--03 (L);08/04/2024;8;12,66
PEVVGNTR1--03 (L);08/04/2024;9;12,772
PEVVGNTR1--03 (L);08/04/2024;10;12,703
PEVVGNTR1--03 (L);08/04/2024;11;12,715
PEVVGNTR1--03 (L);08/04/2024;12;13,026
PEVVGNTR1--03 (L);08/04/2024;13;12,961
PEVVGNTR1--03 (L);08/04/2024;14;12,332
PEVVGNTR1--03 (L);08/04/2024;15;13,322
PEVVGNTR1--03 (L);08/04/2024;16;12,87
PEVVGNTR1--03 (L);08/04/2024;17;12,691
PEVVGNTR1--03 (L);08/04/2024;18;12,171
PEVVGNTR1--03 (L);08/04/2024;19;11,91
PEVVGNTR1--03 (L);08/04/2024;20;12,001
PEVVGNTR1--03 (L);08/04/2024;21;11,912
PEVVGNTR1--03 (L);08/04/2024;22;11,882
PEVVGNTR1--03 (L);08/04/2024;23;12,3
PEVVGNTR1--03 (L);08/04/2024;24;12,406
PEVVGNTR1--03 (L);09/04/2024;1;12,252
PEVVGNTR1--03 (L);09/04/2024;2;12,322
PEVVGNTR1--03 (L);09/04/2024;3;12,469
PEVVGNTR1--03 (L);09/04/2024;4;12,476
PEVVGNTR1--03 (L);09/04/2024;5;12,616
PEVVGNTR1--03 (L);09/04/2024;6;12,417
PEVVGNTR1--03 (L);09/04/2024;7;12,035
PEVVGNTR1--03 (L);09/04/2024;8;12,439
PEVVGNTR1--03 (L);09/04/2024;9;12,934
PEVVGNTR1--03 (L);09/04/2024;10;12,996
PEVVGNTR1--03 (L);09/04/2024;11;12,975
PEVVGNTR1--03 (L);09/04/2024;12;12,797
PEVVGNTR1--03 (L);09/04/2024;13;13,131
PEVVGNTR1--03 (L);09/04/2024;14;13,158
PEVVGNTR1--03 (L);09/04/2024;15;12,376
PEVVGNTR1--03 (L);09/04/2024;16;12,361
PEVVGNTR1--03 (L);09/04/2024;17;12,605
PEVVGNTR1--03 (L);09/04/2024;18;12,223
PEVVGNTR1--03 (L);09/04/2024;19;12,229
PEVVGNTR1--03 (L);09/04/2024;20;12,205
PEVVGNTR1--03 (L);09/04/2024;21;12,191
PEVVGNTR1--03 (L);09/04/2024;22;11,952
PEVVGNTR1--03 (L);09/04/2024;23;12,039
PEVVGNTR1--03 (L);09/04/2024;24;12,321
PEVVGNTR1--03 (L);10/04/2024;1;12,054
PEVVGNTR1--03 (L);10/04/2024;2;11,634
PEVVGNTR1--03 (L);10/04/2024;3;11,691
PEVVGNTR1--03 (L);10/04/2024;4;11,83
PEVVGNTR1--03 (L);10/04/2024;5;11,761
PEVVGNTR1--03 (L);10/04/2024;6;12,428
PEVVGNTR1--03 (L);10/04/2024;7;12,826
PEVVGNTR1--03 (L);10/04/2024;8;12,752
PEVVGNTR1--03 (L);10/04/2024;9;12,974
PEVVGNTR1--03 (L);10/04/2024;10;13,168
PEVVGNTR1--03 (L);10/04/2024;11;13,218
PEVVGNTR1--03 (L);10/04/2024;12;13,462
PEVVGNTR1--03 (L);10/04/2024;13;12,723
PEVVGNTR1--03 (L);10/04/2024;14;12,308
PEVVGNTR1--03 (L);10/04/2024;15;12,257
PEVVGNTR1--03 (L);10/04/2024;16;12,246
PEVVGNTR1--03 (L);10/04/2024;17;12,445
PEVVGNTR1--03 (L);10/04/2024;18;12,122
PEVVGNTR1--03 (L);10/04/2024;19;12,332
PEVVGNTR1--03 (L);10/04/2024;20;12,523
PEVVGNTR1--03 (L);10/04/2024;21;12,418
PEVVGNTR1--03 (L);10/04/2024;22;12,052
PEVVGNTR1--03 (L);10/04/2024;23;12,041
PEVVGNTR1--03 (L);10/04/2024;24;12,069
PEVVGNTR1--03 (L);11/04/2024;1;12,056
PEVVGNTR1--03 (L);11/04/2024;2;11,996
PEVVGNTR1--03 (L);11/04/2024;3;12,124
PEVVGNTR1--03 (L);11/04/2024;4;12,243
PEVVGNTR1--03 (L);11/04/2024;5;12,201
PEVVGNTR1--03 (L);11/04/2024;6;12,489
PEVVGNTR1--03 (L);11/04/2024;7;12,657
PEVVGNTR1--03 (L);11/04/2024;8;12,967
PEVVGNTR1--03 (L);11/04/2024;9;12,744
PEVVGNTR1--03 (L);11/04/2024;10;12,591
PEVVGNTR1--03 (L);11/04/2024;11;12,746
PEVVGNTR1--03 (L);11/04/2024;12;12,845
PEVVGNTR1--03 (L);11/04/2024;13;12,756
PEVVGNTR1--03 (L);11/04/2024;14;12,639
PEVVGNTR1--03 (L);11/04/2024;15;13,091
PEVVGNTR1--03 (L);11/04/2024;16;12,997
PEVVGNTR1--03 (L);11/04/2024;17;12,598
PEVVGNTR1--03 (L);11/04/2024;18;12,053
PEVVGNTR1--03 (L);11/04/2024;19;11,957
PEVVGNTR1--03 (L);11/04/2024;20;12,009
PEVVGNTR1--03 (L);11/04/2024;21;11,9
PEVVGNTR1--03 (L);11/04/2024;22;11,943
PEVVGNTR1--03 (L);11/04/2024;23;12,245
PEVVGNTR1--03 (L);11/04/2024;24;12,486
PEVVGNTR1--03 (L);12/04/2024;1;12,718
PEVVGNTR1--03 (L);12/04/2024;2;12,693
PEVVGNTR1--03 (L);12/04/2024;3;12,672
PEVVGNTR1--03 (L);12/04/2024;4;12,711
PEVVGNTR1--03 (L);12/04/2024;5;11,952
PEVVGNTR1--03 (L);12/04/2024;6;12,189
PEVVGNTR1--03 (L);12/04/2024;7;12,469
PEVVGNTR1--03 (L);12/04/2024;8;12,803
PEVVGNTR1--03 (L);12/04/2024;9;12,471
PEVVGNTR1--03 (L);12/04/2024;10;13,191
PEVVGNTR1--03 (L);12/04/2024;11;13,139
PEVVGNTR1--03 (L);12/04/2024;12;13,392
PEVVGNTR1--03 (L);12/04/2024;13;13,589
PEVVGNTR1--03 (L);12/04/2024;14;13,32
PEVVGNTR1--03 (L);12/04/2024;15;13,205
PEVVGNTR1--03 (L);12/04/2024;16;13,379
PEVVGNTR1--03 (L);12/04/2024;17;12,668
PEVVGNTR1--03 (L);12/04/2024;18;11,943
PEVVGNTR1--03 (L);12/04/2024;19;11,923
PEVVGNTR1--03 (L);12/04/2024;20;12,014
PEVVGNTR1--03 (L);12/04/2024;21;11,932
PEVVGNTR1--03 (L);12/04/2024;22;11,687
PEVVGNTR1--03 (L);12/04/2024;23;11,69
PEVVGNTR1--03 (L);12/04/2024;24;11,934
PEVVGNTR1--03 (L);13/04/2024;1;12,288
PEVVGNTR1--03 (L);13/04/2024;2;12,483
PEVVGNTR1--03 (L);13/04/2024;3;12,758
PEVVGNTR1--03 (L);13/04/2024;4;12,301
PEVVGNTR1--03 (L);13/04/2024;5;12,191
PEVVGNTR1--03 (L);13/04/2024;6;12,245
PEVVGNTR1--03 (L);13/04/2024;7;11,892
PEVVGNTR1--03 (L);13/04/2024;8;12,55
PEVVGNTR1--03 (L);13/04/2024;9;12,798
PEVVGNTR1--03 (L);13/04/2024;10;12,759
PEVVGNTR1--03 (L);13/04/2024;11;12,744
PEVVGNTR1--03 (L);13/04/2024;12;12,745
PEVVGNTR1--03 (L);13/04/2024;13;13,135
PEVVGNTR1--03 (L);13/04/2024;14;13,015
PEVVGNTR1--03 (L);13/04/2024;15;12,897
PEVVGNTR1--03 (L);13/04/2024;16;12,865
PEVVGNTR1--03 (L);13/04/2024;17;12,21
PEVVGNTR1--03 (L);13/04/2024;18;11,773
PEVVGNTR1--03 (L);13/04/2024;19;11,736
PEVVGNTR1--03 (L);13/04/2024;20;11,894
PEVVGNTR1--03 (L);13/04/2024;21;11,857
PEVVGNTR1--03 (L);13/04/2024;22;11,671
PEVVGNTR1--03 (L);13/04/2024;23;11,642
PEVVGNTR1--03 (L);13/04/2024;24;11,682
PEVVGNTR1--03 (L);14/04/2024;1;11,856
PEVVGNTR1--03 (L);14/04/2024;2;11,741
PEVVGNTR1--03 (L);14/04/2024;3;11,899
PEVVGNTR1--03 (L);14/04/2024;4;11,719
PEVVGNTR1--03 (L);14/04/2024;5;11,897
PEVVGNTR1--03 (L);14/04/2024;6;11,843
PEVVGNTR1--03 (L);14/04/2024;7;11,76
PEVVGNTR1--03 (L);14/04/2024;8;12,261
PEVVGNTR1--03 (L);14/04/2024;9;12,567
PEVVGNTR1--03 (L);14/04/2024;10;12,139
PEVVGNTR1--03 (L);14/04/2024;11;12,41
PEVVGNTR1--03 (L);14/04/2024;12;12,474
PEVVGNTR1--03 (L);14/04/2024;13;12,551
PEVVGNTR1--03 (L);14/04/2024;14;12,528
PEVVGNTR1--03 (L);14/04/2024;15;12,252
PEVVGNTR1--03 (L);14/04/2024;16;12,063
PEVVGNTR1--03 (L);14/04/2024;17;11,423
PEVVGNTR1--03 (L);14/04/2024;18;11,471
PEVVGNTR1--03 (L);14/04/2024;19;11,41
PEVVGNTR1--03 (L);14/04/2024;20;11,364
PEVVGNTR1--03 (L);14/04/2024;21;11,298
PEVVGNTR1--03 (L);14/04/2024;22;11,147
PEVVGNTR1--03 (L);14/04/2024;23;11,167
PEVVGNTR1--03 (L);14/04/2024;24;11,273
PEVVGNTR1--03 (L);15/04/2024;1;12,047
PEVVGNTR1--03 (L);15/04/2024;2;12,252
PEVVGNTR1--03 (L);15/04/2024;3;12,442
PEVVGNTR1--03 (L);15/04/2024;4;12,429
PEVVGNTR1--03 (L);15/04/2024;5;12,358
PEVVGNTR1--03 (L);15/04/2024;6;12,612
PEVVGNTR1--03 (L);15/04/2024;7;12,667
PEVVGNTR1--03 (L);15/04/2024;8;12,445
PEVVGNTR1--03 (L);15/04/2024;9;13,223
PEVVGNTR1--03 (L);15/04/2024;10;12,875
PEVVGNTR1--03 (L);15/04/2024;11;13,022
PEVVGNTR1--03 (L);15/04/2024;12;12,988
PEVVGNTR1--03 (L);15/04/2024;13;13,134
PEVVGNTR1--03 (L);15/04/2024;14;13,041
PEVVGNTR1--03 (L);15/04/2024;15;13,071
PEVVGNTR1--03 (L);15/04/2024;16;13,368
PEVVGNTR1--03 (L);15/04/2024;17;12,687
PEVVGNTR1--03 (L);15/04/2024;18;11,957
PEVVGNTR1--03 (L);15/04/2024;19;12,071
PEVVGNTR1--03 (L);15/04/2024;20;12,173
PEVVGNTR1--03 (L);15/04/2024;21;11,982
PEVVGNTR1--03 (L);15/04/2024;22;11,611
PEVVGNTR1--03 (L);15/04/2024;23;11,679
PEVVGNTR1--03 (L);15/04/2024;24;11,851
PEVVGNTR1--03 (L);16/04/2024;1;11,857
PEVVGNTR1--03 (L);16/04/2024;2;12,099
PEVVGNTR1--03 (L);16/04/2024;3;12,524
PEVVGNTR1--03 (L);16/04/2024;4;12,615
PEVVGNTR1--03 (L);16/04/2024;5;12,788
PEVVGNTR1--03 (L);16/04/2024;6;12,392
PEVVGNTR1--03 (L);16/04/2024;7;12,475
PEVVGNTR1--03 (L);16/04/2024;8;12,7
PEVVGNTR1--03 (L);16/04/2024;9;12,247
PEVVGNTR1--03 (L);16/04/2024;10;12,523
PEVVGNTR1--03 (L);16/04/2024;11;12,962
PEVVGNTR1--03 (L);16/04/2024;12;12,997
PEVVGNTR1--03 (L);16/04/2024;13;12,547
PEVVGNTR1--03 (L);16/04/2024;14;12,264
PEVVGNTR1--03 (L);16/04/2024;15;12,337
PEVVGNTR1--03 (L);16/04/2024;16;12,306
PEVVGNTR1--03 (L);16/04/2024;17;12,613
PEVVGNTR1--03 (L);16/04/2024;18;12,087
PEVVGNTR1--03 (L);16/04/2024;19;12,229
PEVVGNTR1--03 (L);16/04/2024;20;12,489
PEVVGNTR1--03 (L);16/04/2024;21;12,451
PEVVGNTR1--03 (L);16/04/2024;22;12,186
PEVVGNTR1--03 (L);16/04/2024;23;12,208
PEVVGNTR1--03 (L);16/04/2024;24;12,185
PEVVGNTR1--03 (L);17/04/2024;1;12,11
PEVVGNTR1--03 (L);17/04/2024;2;11,997
PEVVGNTR1--03 (L);17/04/2024;3;12,196
PEVVGNTR1--03 (L);17/04/2024;4;12,236
PEVVGNTR1--03 (L);17/04/2024;5;12,305
PEVVGNTR1--03 (L);17/04/2024;6;12,593
PEVVGNTR1--03 (L);17/04/2024;7;12,96
PEVVGNTR1--03 (L);17/04/2024;8;13,485
PEVVGNTR1--03 (L);17/04/2024;9;13,084
PEVVGNTR1--03 (L);17/04/2024;10;13,407
PEVVGNTR1--03 (L);17/04/2024;11;13,373
PEVVGNTR1--03 (L);17/04/2024;12;13,349
PEVVGNTR1--03 (L);17/04/2024;13;13,194
PEVVGNTR1--03 (L);17/04/2024;14;12,792
PEVVGNTR1--03 (L);17/04/2024;15;13,256
PEVVGNTR1--03 (L);17/04/2024;16;13,076
PEVVGNTR1--03 (L);17/04/2024;17;12,497
PEVVGNTR1--03 (L);17/04/2024;18;12,433
PEVVGNTR1--03 (L);17/04/2024;19;12,362
PEVVGNTR1--03 (L);17/04/2024;20;12,348
PEVVGNTR1--03 (L);17/04/2024;21;12,186
PEVVGNTR1--03 (L);17/04/2024;22;11,866
PEVVGNTR1--03 (L);17/04/2024;23;11,853
PEVVGNTR1--03 (L);17/04/2024;24;11,935
PEVVGNTR1--03 (L);18/04/2024;1;11,997
PEVVGNTR1--03 (L);18/04/2024;2;12,584
PEVVGNTR1--03 (L);18/04/2024;3;12,601
PEVVGNTR1--03 (L);18/04/2024;4;12,506
PEVVGNTR1--03 (L);18/04/2024;5;12,571
PEVVGNTR1--03 (L);18/04/2024;6;12,32
PEVVGNTR1--03 (L);18/04/2024;7;12,481
PEVVGNTR1--03 (L);18/04/2024;8;12,843
PEVVGNTR1--03 (L);18/04/2024;9;12,809
PEVVGNTR1--03 (L);18/04/2024;10;12,979
PEVVGNTR1--03 (L);18/04/2024;11;13,231
PEVVGNTR1--03 (L);18/04/2024;12;12,979
PEVVGNTR1--03 (L);18/04/2024;13;13,077
PEVVGNTR1--03 (L);18/04/2024;14;12,8
PEVVGNTR1--03 (L);18/04/2024;15;13,421
PEVVGNTR1--03 (L);18/04/2024;16;13,236
PEVVGNTR1--03 (L);18/04/2024;17;12,512
PEVVGNTR1--03 (L);18/04/2024;18;12,365
PEVVGNTR1--03 (L);18/04/2024;19;12,39
PEVVGNTR1--03 (L);18/04/2024;20;12,399
PEVVGNTR1--03 (L);18/04/2024;21;12,344
PEVVGNTR1--03 (L);18/04/2024;22;12,145
PEVVGNTR1--03 (L);18/04/2024;23;12,155
PEVVGNTR1--03 (L);18/04/2024;24;12,337
PEVVGNTR1--03 (L);19/04/2024;1;12,446
PEVVGNTR1--03 (L);19/04/2024;2;12,431
PEVVGNTR1--03 (L);19/04/2024;3;12,576
PEVVGNTR1--03 (L);19/04/2024;4;12,485
PEVVGNTR1--03 (L);19/04/2024;5;12,611
PEVVGNTR1--03 (L);19/04/2024;6;12,462
PEVVGNTR1--03 (L);19/04/2024;7;12,515
PEVVGNTR1--03 (L);19/04/2024;8;12,825
PEVVGNTR1--03 (L);19/04/2024;9;13
PEVVGNTR1--03 (L);19/04/2024;10;12,738
PEVVGNTR1--03 (L);19/04/2024;11;13,161
PEVVGNTR1--03 (L);19/04/2024;12;13,227
PEVVGNTR1--03 (L);19/04/2024;13;13,284
PEVVGNTR1--03 (L);19/04/2024;14;12,958
PEVVGNTR1--03 (L);19/04/2024;15;12,729
PEVVGNTR1--03 (L);19/04/2024;16;12,64
PEVVGNTR1--03 (L);19/04/2024;17;12,878
PEVVGNTR1--03 (L);19/04/2024;18;12,012
PEVVGNTR1--03 (L);19/04/2024;19;11,965
PEVVGNTR1--03 (L);19/04/2024;20;12,034
PEVVGNTR1--03 (L);19/04/2024;21;12,025
PEVVGNTR1--03 (L);19/04/2024;22;11,813
PEVVGNTR1--03 (L);19/04/2024;23;11,875
PEVVGNTR1--03 (L);19/04/2024;24;12,018
PEVVGNTR1--03 (L);20/04/2024;1;12,056
PEVVGNTR1--03 (L);20/04/2024;2;12,285
PEVVGNTR1--03 (L);20/04/2024;3;12,344
PEVVGNTR1--03 (L);20/04/2024;4;12,277
PEVVGNTR1--03 (L);20/04/2024;5;12,406
PEVVGNTR1--03 (L);20/04/2024;6;12,49
PEVVGNTR1--03 (L);20/04/2024;7;11,906
PEVVGNTR1--03 (L);20/04/2024;8;11,845
PEVVGNTR1--03 (L);20/04/2024;9;11,963
PEVVGNTR1--03 (L);20/04/2024;10;11,922
PEVVGNTR1--03 (L);20/04/2024;11;12,067
PEVVGNTR1--03 (L);20/04/2024;12;12,256
PEVVGNTR1--03 (L);20/04/2024;13;12,455
PEVVGNTR1--03 (L);20/04/2024;14;12,457
PEVVGNTR1--03 (L);20/04/2024;15;12,403
PEVVGNTR1--03 (L);20/04/2024;16;12,385
PEVVGNTR1--03 (L);20/04/2024;17;12,343
PEVVGNTR1--03 (L);20/04/2024;18;11,905
PEVVGNTR1--03 (L);20/04/2024;19;11,863
PEVVGNTR1--03 (L);20/04/2024;20;12,038
PEVVGNTR1--03 (L);20/04/2024;21;12,131
PEVVGNTR1--03 (L);20/04/2024;22;12,161
PEVVGNTR1--03 (L);20/04/2024;23;12,232
PEVVGNTR1--03 (L);20/04/2024;24;12,305
PEVVGNTR1--03 (L);21/04/2024;1;11,913
PEVVGNTR1--03 (L);21/04/2024;2;11,942
PEVVGNTR1--03 (L);21/04/2024;3;11,983
PEVVGNTR1--03 (L);21/04/2024;4;12,008
PEVVGNTR1--03 (L);21/04/2024;5;12,12
PEVVGNTR1--03 (L);21/04/2024;6;11,897
PEVVGNTR1--03 (L);21/04/2024;7;12,142
PEVVGNTR1--03 (L);21/04/2024;8;12,624
PEVVGNTR1--03 (L);21/04/2024;9;12,612
PEVVGNTR1--03 (L);21/04/2024;10;12,289
PEVVGNTR1--03 (L);21/04/2024;11;12,39
PEVVGNTR1--03 (L);21/04/2024;12;12,304
PEVVGNTR1--03 (L);21/04/2024;13;12,652
PEVVGNTR1--03 (L);21/04/2024;14;12,714
PEVVGNTR1--03 (L);21/04/2024;15;12,488
PEVVGNTR1--03 (L);21/04/2024;16;11,854
PEVVGNTR1--03 (L);21/04/2024;17;11,544
PEVVGNTR1--03 (L);21/04/2024;18;11,385
PEVVGNTR1--03 (L);21/04/2024;19;11,656
PEVVGNTR1--03 (L);21/04/2024;20;11,674
PEVVGNTR1--03 (L);21/04/2024;21;11,644
PEVVGNTR1--03 (L);21/04/2024;22;11,712
PEVVGNTR1--03 (L);21/04/2024;23;11,767
PEVVGNTR1--03 (L);21/04/2024;24;11,987
PEVVGNTR1--03 (L);22/04/2024;1;12,136
PEVVGNTR1--03 (L);22/04/2024;2;12,015
PEVVGNTR1--03 (L);22/04/2024;3;12,002
PEVVGNTR1--03 (L);22/04/2024;4;12,073
PEVVGNTR1--03 (L);22/04/2024;5;11,938
PEVVGNTR1--03 (L);22/04/2024;6;12,042
PEVVGNTR1--03 (L);22/04/2024;7;12,329
PEVVGNTR1--03 (L);22/04/2024;8;12,441
PEVVGNTR1--03 (L);22/04/2024;9;12,663
PEVVGNTR1--03 (L);22/04/2024;10;12,498
PEVVGNTR1--03 (L);22/04/2024;11;12,826
PEVVGNTR1--03 (L);22/04/2024;12;13,138
PEVVGNTR1--03 (L);22/04/2024;13;13,265
PEVVGNTR1--03 (L);22/04/2024;14;12,886
PEVVGNTR1--03 (L);22/04/2024;15;12,845
PEVVGNTR1--03 (L);22/04/2024;16;13,129
PEVVGNTR1--03 (L);22/04/2024;17;12,839
PEVVGNTR1--03 (L);22/04/2024;18;12,008
PEVVGNTR1--03 (L);22/04/2024;19;11,942
PEVVGNTR1--03 (L);22/04/2024;20;12,034
PEVVGNTR1--03 (L);22/04/2024;21;11,994
PEVVGNTR1--03 (L);22/04/2024;22;11,615
PEVVGNTR1--03 (L);22/04/2024;23;11,651
PEVVGNTR1--03 (L);22/04/2024;24;11,8
PEVVGNTR1--03 (L);23/04/2024;1;12,028
PEVVGNTR1--03 (L);23/04/2024;2;12,062
PEVVGNTR1--03 (L);23/04/2024;3;12,137
PEVVGNTR1--03 (L);23/04/2024;4;12,377
PEVVGNTR1--03 (L);23/04/2024;5;12,444
PEVVGNTR1--03 (L);23/04/2024;6;12,485
PEVVGNTR1--03 (L);23/04/2024;7;12,235
PEVVGNTR1--03 (L);23/04/2024;8;12,66
PEVVGNTR1--03 (L);23/04/2024;9;13,209
PEVVGNTR1--03 (L);23/04/2024;10;13,697
PEVVGNTR1--03 (L);23/04/2024;11;13,663
PEVVGNTR1--03 (L);23/04/2024;12;13,748
PEVVGNTR1--03 (L);23/04/2024;13;13,873
PEVVGNTR1--03 (L);23/04/2024;14;13,525
PEVVGNTR1--03 (L);23/04/2024;15;13,162
PEVVGNTR1--03 (L);23/04/2024;16;13,23
PEVVGNTR1--03 (L);23/04/2024;17;12,623
PEVVGNTR1--03 (L);23/04/2024;18;12,544
