datetime,predicted_consumo
2024-01-01,6.204537
2024-01-02,4.6245914
2024-01-03,5.238176
2024-01-04,5.5563345
2024-01-05,5.431882
2024-01-06,5.681722
2024-01-07,5.5671525
2024-01-08,5.1103244
2024-01-09,5.671803
2024-01-10,5.091633
2024-01-11,7.070175
2024-01-12,6.769507
2024-01-13,7.0620985
2024-01-14,6.86349
2024-01-15,4.71717
2024-01-16,4.815185
2024-01-17,4.586405
2024-01-18,4.8955784
2024-01-19,6.957485
2024-01-20,6.6599145
2024-01-21,6.666126
2024-01-22,6.5084853
2024-01-23,6.8175764
2024-01-24,7.38441
2024-01-25,7.1680784
2024-01-26,6.915641
2024-01-27,6.674323
2024-01-28,6.6873384
2024-01-29,5.787031
2024-01-30,6.9373484
2024-01-31,7.0872703
2024-02-01,6.9711866
2024-02-02,6.606762
2024-02-03,6.6311445
2024-02-04,6.6112833
2024-02-05,7.2775803
2024-02-06,7.147032
2024-02-07,7.1482944
2024-02-08,7.0429873
2024-02-09,7.3316927
2024-02-10,7.189473
2024-02-11,7.0659804
2024-02-12,7.305575
2024-02-13,7.1335697
2024-02-14,7.3050365
2024-02-15,7.2163305
2024-02-16,7.183516
2024-02-17,7.187418
2024-02-18,7.0531607
2024-02-19,7.2382364
2024-02-20,6.8353524
2024-02-21,7.221418
2024-02-22,7.316223
2024-02-23,7.2354884
2024-02-24,7.2703123
2024-02-25,7.0798483
2024-02-26,7.109108
2024-02-27,6.683004
2024-02-28,7.325321
2024-02-29,7.332964
2024-03-01,6.677751
2024-03-02,6.8266287
2024-03-03,6.797
2024-03-04,6.959352
2024-03-05,5.7694483
2024-03-06,7.0728993
2024-03-07,6.8584504
2024-03-08,6.548516
2024-03-09,6.9332376
2024-03-10,6.8764815
2024-03-11,6.844003
2024-03-12,5.7632055
2024-03-13,7.051308
2024-03-14,7.038038
2024-03-15,6.3869057
2024-03-16,6.680844
2024-03-17,5.2713327
2024-03-18,6.890256
2024-03-19,5.7787647
2024-03-20,7.0587697
2024-03-21,6.7036715
2024-03-22,6.672559
2024-03-23,6.6454425
2024-03-24,6.57522
2024-03-25,4.992803
2024-03-26,4.9929304
2024-03-27,8.393128
2024-03-28,8.175515
2024-03-29,8.415687
2024-03-30,8.089857
2024-03-31,8.239787
2024-04-01,8.200535
2024-04-02,8.402619
2024-04-03,7.7489614
2024-04-04,7.7812147
2024-04-05,8.321576
2024-04-06,8.426063
2024-04-07,7.760927
2024-04-08,8.369727
2024-04-09,7.96245
2024-04-10,7.951438
2024-04-11,7.947388
2024-04-12,8.321576
2024-04-13,8.226226
2024-04-14,8.472709
2024-04-15,8.416066
2024-04-16,8.266261
2024-04-17,8.264998
2024-04-18,8.321769
2024-04-19,8.449624
2024-04-20,8.194631
2024-04-21,7.988765
2024-04-22,8.247462
2024-04-23,8.2204485
2024-04-24,8.391944
2024-04-25,8.361503
2024-04-26,8.396354
2024-04-27,8.037033
2024-04-28,7.895091
2024-04-29,8.28711
2024-04-30,8.392768
2024-05-01,8.290866
2024-05-02,8.321769
2024-05-03,8.247266
2024-05-04,8.257873
2024-05-05,8.472709
2024-05-06,8.416066
2024-05-07,7.773667
2024-05-08,8.436614
2024-05-09,8.321769
2024-05-10,8.449711
2024-05-11,8.424045
2024-05-12,8.472709
2024-05-13,8.216229
2024-05-14,7.1485286
2024-05-15,7.1292415
2024-05-16,6.996569
2024-05-17,6.7789874
2024-05-18,7.147203
2024-05-19,7.138377
2024-05-20,7.0782475
2024-05-21,6.4651475
2024-05-22,6.3908257
2024-05-23,6.3845744
2024-05-24,6.764107
2024-05-25,7.069435
2024-05-26,6.887063
2024-05-27,6.2789683
2024-05-28,6.400873
2024-05-29,6.323592
2024-05-30,6.324863
2024-05-31,6.3634515
2024-06-01,6.3111534
2024-06-02,5.992244
2024-06-03,6.95899
2024-06-04,5.6617293
2024-06-05,7.076664
2024-06-06,6.9630184
