datetime,predicted_consumo
2024-01-01,6.321082918042141
2024-01-02,4.710533281768735
2024-01-03,6.340784367824296
2024-01-04,6.6776759097893805
2024-01-05,6.609860362859354
2024-01-06,6.739792535247199
2024-01-07,6.62013068889116
2024-01-08,6.658382638121876
2024-01-09,6.256134768986795
2024-01-10,6.643740260227381
2024-01-11,6.851554584113204
2024-01-12,6.725551189389447
2024-01-13,6.81330983706776
2024-01-14,6.813984666587163
2024-01-15,4.6655692440640335
2024-01-16,5.033537145868047
2024-01-17,4.661525980988766
2024-01-18,6.385878517363126
2024-01-19,6.588365699696143
2024-01-20,6.48645552293525
2024-01-21,6.465974963706089
2024-01-22,6.474410428270457
2024-01-23,6.209783700287834
2024-01-24,7.158868711577976
2024-01-25,7.066993722390871
2024-01-26,7.0481742348619925
2024-01-27,6.851844439187322
2024-01-28,7.043627065607973
2024-01-29,7.076590835586797
2024-01-30,7.0808953067666
2024-01-31,7.092584456624728
2024-02-01,7.048226456570586
2024-02-02,6.842307276816569
2024-02-03,7.048959907425378
2024-02-04,7.049894848539732
2024-02-05,7.11405581345879
2024-02-06,7.107541232450225
2024-02-07,7.1246856402904095
2024-02-08,7.08094724376429
2024-02-09,6.996836509143068
2024-02-10,7.095256901615014
2024-02-11,7.0848736891095765
2024-02-12,7.130022218357598
2024-02-13,7.110946591615089
2024-02-14,7.125810337178575
2024-02-15,7.094491114577081
2024-02-16,7.029031432772825
2024-02-17,7.108085540718334
2024-02-18,7.06428971033572
2024-02-19,7.033366913090789
2024-02-20,7.091332612248708
2024-02-21,7.166849736057095
2024-02-22,7.150108687753714
2024-02-23,7.147271530283101
2024-02-24,7.113745624375955
2024-02-25,7.04065762426287
2024-02-26,7.042977191014273
2024-02-27,6.901280005308763
2024-02-28,7.160823102905763
2024-02-29,7.083029498241408
2024-03-01,6.7466868382317395
2024-03-02,6.757512002897949
2024-03-03,6.5461880476342245
2024-03-04,6.7303517229902114
2024-03-05,6.333483170493938
2024-03-06,6.807622371259542
2024-03-07,6.787325653843389
2024-03-08,6.72249861407924
2024-03-09,6.747371708062325
2024-03-10,6.680591170313553
2024-03-11,6.731026989105862
2024-03-12,6.3039579177066445
2024-03-13,6.7718815489564665
2024-03-14,6.928719176250887
2024-03-15,6.712960308287166
2024-03-16,6.612842279183349
2024-03-17,6.7296592949942
2024-03-18,6.690726921961049
2024-03-19,6.274360085457562
2024-03-20,6.669082655872358
2024-03-21,6.516727770767006
2024-03-22,6.555581949806466
2024-03-23,6.5297230955548216
2024-03-24,6.464260878320495
2024-03-25,6.9060433905114795
2024-03-26,6.824453317354998
2024-03-27,8.30125699812665
2024-03-28,8.374998564746276
2024-03-29,8.317260884805789
2024-03-30,8.321835508273805
2024-03-31,8.428614790490629
2024-04-01,8.198730153496632
2024-04-02,8.264972405300242
2024-04-03,8.05692543239904
2024-04-04,8.00405970977117
2024-04-05,8.055130531558103
2024-04-06,8.082378368630085
2024-04-07,8.11238543434193
2024-04-08,8.08928639640479
2024-04-09,8.076634147358405
2024-04-10,8.043893119170136
2024-04-11,8.049109068297941
2024-04-12,8.020906878855012
2024-04-13,8.038622980938346
2024-04-14,8.148952552587932
2024-04-15,8.094225516031479
2024-04-16,8.100707017487547
2024-04-17,8.074643822846575
2024-04-18,8.115077310259286
2024-04-19,8.11702708953485
2024-04-20,8.124850582659853
2024-04-21,8.04245289574675
2024-04-22,8.03112363154978
2024-04-23,8.21034285891677
2024-04-24,8.225191843127105
2024-04-25,8.18255301064055
2024-04-26,8.190838705008606
2024-04-27,8.054454077120747
2024-04-28,8.077775878329174
2024-04-29,8.039224161579542
2024-04-30,8.07383010014743
2024-05-01,8.087305785663807
2024-05-02,8.146770869951519
2024-05-03,8.115274422868186
2024-05-04,8.106609173046756
2024-05-05,8.143815872191968
2024-05-06,8.124308215170412
2024-05-07,8.135024513794365
2024-05-08,8.109852318788807
2024-05-09,8.157556382369675
2024-05-10,8.07749909016967
2024-05-11,8.123021588076519
2024-05-12,8.148952552587932
2024-05-13,8.12464301301538
2024-05-14,6.190969431473997
2024-05-15,6.274282583030811
2024-05-16,6.187370484097298
2024-05-17,6.350554764295687
2024-05-18,6.2416783464850925
2024-05-19,6.2774759436253635
2024-05-20,6.293506789346829
2024-05-21,6.105001996678901
2024-05-22,6.422632292497887
2024-05-23,6.548756851039346
2024-05-24,6.637356134723123
2024-05-25,6.637174556764666
2024-05-26,6.626719833726387
2024-05-27,6.447048767791357
2024-05-28,6.09471124090199
2024-05-29,6.422797126034693
2024-05-30,6.546989979772466
2024-05-31,6.496726364179988
2024-06-01,6.481679495857474
2024-06-02,6.479125395624216
2024-06-03,6.434845655764023
2024-06-04,6.203980167535504
2024-06-05,6.552418631037258
2024-06-06,6.719221454377508
2024-06-07,6.567534309925365
2024-06-08,6.594605012802682
2024-06-09,6.564065763407135
2024-06-10,6.53383017830847
2024-06-11,6.243212282327171
2024-06-12,6.592260788942083
2024-06-13,6.780895955717882
2024-06-14,6.744253709009356
2024-06-15,6.587949974215259
2024-06-16,6.455171523302099
2024-06-17,6.592722667075076
2024-06-18,6.170346222776716
2024-06-19,6.430217443702195
2024-06-20,6.547110365003021
2024-06-21,6.507216664864987
2024-06-22,6.503185547188009
2024-06-23,6.489328823728902
2024-06-24,6.4539630597253606
2024-06-25,6.083453746764507
2024-06-26,6.416910717061479
2024-06-27,6.544504371481139
2024-06-28,6.489877886588077
2024-06-29,6.500622876580369
2024-06-30,6.487682337692578
2024-07-01,6.4394710428597906
2024-07-02,6.08973382447165
