datetime,predicted_consumo
2024-01-01,6.6472526
2024-01-02,4.6811686
2024-01-03,5.353404
2024-01-04,5.529276
2024-01-05,5.3815513
2024-01-06,5.582761
2024-01-07,5.337114
2024-01-08,5.096949
2024-01-09,6.2093472
2024-01-10,5.359675
2024-01-11,6.911921
2024-01-12,6.8681903
2024-01-13,6.838275
2024-01-14,6.7288003
2024-01-15,4.7570987
2024-01-16,4.8596377
2024-01-17,4.5788074
2024-01-18,4.6706877
2024-01-19,6.7176404
2024-01-20,6.7486234
2024-01-21,6.71117
2024-01-22,6.488195
2024-01-23,6.7390146
2024-01-24,7.394027
2024-01-25,7.16368
2024-01-26,7.0424485
2024-01-27,6.7117896
2024-01-28,6.5763326
2024-01-29,7.436411
2024-01-30,7.093897
2024-01-31,7.08196
2024-02-01,6.8871403
2024-02-02,6.844296
2024-02-03,6.910251
2024-02-04,6.705595
2024-02-05,7.3368373
2024-02-06,7.316922
2024-02-07,7.2666287
2024-02-08,7.2395267
2024-02-09,7.0541344
2024-02-10,7.0565367
2024-02-11,7.118371
2024-02-12,7.327614
2024-02-13,7.320666
2024-02-14,7.2376986
2024-02-15,7.2399035
2024-02-16,7.1023784
2024-02-17,7.305937
2024-02-18,7.066657
2024-02-19,7.1580496
2024-02-20,6.9438343
2024-02-21,7.392703
2024-02-22,7.3425703
2024-02-23,7.3584895
2024-02-24,7.4992385
2024-02-25,7.1695666
2024-02-26,7.227644
2024-02-27,6.804538
2024-02-28,7.2404776
2024-02-29,7.473125
2024-03-01,6.768568
2024-03-02,6.4885144
2024-03-03,6.6146545
2024-03-04,6.729116
2024-03-05,6.200282
2024-03-06,6.141056
2024-03-07,6.4961514
2024-03-08,6.4960203
2024-03-09,6.49615
2024-03-10,6.4718523
2024-03-11,6.536656
2024-03-12,6.130873
2024-03-13,6.120063
2024-03-14,6.7870708
2024-03-15,6.8537064
2024-03-16,5.58442
2024-03-17,6.1574774
2024-03-18,6.7368946
2024-03-19,6.1987023
2024-03-20,5.6010184
2024-03-21,6.716312
2024-03-22,6.5150976
2024-03-23,6.719115
2024-03-24,6.687095
2024-03-25,4.915575
2024-03-26,4.7946534
2024-03-27,8.288661
2024-03-28,8.182211
2024-03-29,8.413814
2024-03-30,8.413806
2024-03-31,8.440566
2024-04-01,8.216112
2024-04-02,8.379375
2024-04-03,8.037199
2024-04-04,7.6080775
2024-04-05,7.95781
2024-04-06,8.161912
2024-04-07,8.126544
2024-04-08,8.159483
2024-04-09,8.065843
2024-04-10,8.037244
2024-04-11,8.060643
2024-04-12,7.8828883
2024-04-13,7.7881174
2024-04-14,7.980672
2024-04-15,7.9366846
2024-04-16,7.744051
2024-04-17,7.7227354
2024-04-18,7.798881
2024-04-19,7.980672
2024-04-20,7.6927676
2024-04-21,7.981088
2024-04-22,7.8828883
2024-04-23,8.009091
2024-04-24,8.182369
2024-04-25,8.065654
2024-04-26,8.202998
2024-04-27,7.883132
2024-04-28,7.875601
2024-04-29,7.8828883
2024-04-30,7.823529
2024-05-01,7.797825
2024-05-02,7.987961
2024-05-03,7.980672
2024-05-04,7.783417
2024-05-05,7.980672
2024-05-06,7.9802485
2024-05-07,7.980672
2024-05-08,7.9623795
2024-05-09,7.985668
2024-05-10,7.883378
2024-05-11,7.8823333
2024-05-12,7.980672
2024-05-13,7.7850227
2024-05-14,6.54919
2024-05-15,6.385172
2024-05-16,6.203422
2024-05-17,6.408932
2024-05-18,6.5472093
2024-05-19,6.3171782
2024-05-20,6.415488
2024-05-21,6.1700187
2024-05-22,5.5963345
2024-05-23,6.674022
2024-05-24,6.8154364
2024-05-25,6.810314
2024-05-26,6.74148
2024-05-27,6.595601
2024-05-28,6.1690326
2024-05-29,5.59702
2024-05-30,6.5944476
2024-05-31,6.599441
2024-06-01,6.6678414
2024-06-02,6.339708
2024-06-03,6.582495
2024-06-04,6.200282
2024-06-05,6.110835
2024-06-06,6.517786
2024-06-07,6.4960203
2024-06-08,6.4965787
2024-06-09,6.4734488
2024-06-10,6.474744
2024-06-11,6.241537
2024-06-12,6.1270156
2024-06-13,6.828513
2024-06-14,6.770856
2024-06-15,6.8483987
2024-06-16,5.5642943
2024-06-17,6.164693
2024-06-18,6.195386
2024-06-19,5.5947547
2024-06-20,6.673157
2024-06-21,6.665741
2024-06-22,6.487519
2024-06-23,6.608613
2024-06-24,6.5987315
2024-06-25,6.1952806
2024-06-26,5.593107
2024-06-27,6.6741567
2024-06-28,6.665331
2024-06-29,6.668763
2024-06-30,6.554555
2024-07-01,6.595601
2024-07-02,5.8552737
2024-07-03,5.469693
2024-07-04,6.6741567
2024-07-05,6.665741
2024-07-06,6.6869316
2024-07-07,6.608332
2024-07-08,6.595747
2024-07-09,6.1694574
2024-07-10,5.5963345
2024-07-11,6.725092
2024-07-12,6.675011
2024-07-13,6.6678414
2024-07-14,6.560835
2024-07-15,6.542658
2024-07-16,6.398055
2024-07-17,4.9604716
2024-07-18,6.6844406
2024-07-19,6.6660633
2024-07-20,6.666842
2024-07-21,6.608497
2024-07-22,6.4152784
2024-07-23,6.169464
2024-07-24,5.601579
2024-07-25,6.7013655
2024-07-26,6.6628666
2024-07-27,6.6678414
2024-07-28,6.6071806
2024-07-29,6.596523
2024-07-30,6.0903096
2024-07-31,5.5264645
2024-08-01,6.6741567
2024-08-02,6.469041
2024-08-03,6.64817
2024-08-04,6.739464
2024-08-05,6.72677
2024-08-06,6.2215805
2024-08-07,6.120063
2024-08-08,6.828513
2024-08-09,6.496138
2024-08-10,6.4873457
2024-08-11,6.5151324
2024-08-12,6.4867444
2024-08-13,6.200282
2024-08-14,6.0706606
2024-08-15,6.866352
2024-08-16,5.582352
2024-08-17,6.164223
2024-08-18,6.7472425
2024-08-19,6.5940213
2024-08-20,6.169019
2024-08-21,5.5963345
2024-08-22,6.493834
2024-08-23,6.6656065
2024-08-24,6.6714296
2024-08-25,6.6335716
2024-08-26,6.3021684
2024-08-27,6.1700187
2024-08-28,5.5947676
2024-08-29,6.674478
2024-08-30,6.586032
2024-08-31,6.60002
2024-09-01,6.700445
2024-09-02,6.8547807
2024-09-03,6.9581623
2024-09-04,6.9941382
2024-09-05,7.1013837
2024-09-06,7.340926
2024-09-07,7.271123
2024-09-08,7.1085825
2024-09-09,7.0567403
2024-09-10,7.0759225
2024-09-11,7.3234515
2024-09-12,7.3451953
2024-09-13,7.344985
2024-09-14,7.2409263
2024-09-15,7.0830517
2024-09-16,7.0984197
2024-09-17,7.3272166
2024-09-18,7.2736464
2024-09-19,7.0060782
2024-09-20,6.7424154
2024-09-21,7.118988
2024-09-22,6.825816
2024-09-23,7.3441715
2024-09-24,7.483378
2024-09-25,7.377051
2024-09-26,7.273508
2024-09-27,6.89227
2024-09-28,7.1638274
2024-09-29,7.2111697
2024-09-30,7.4302998
2024-10-01,7.0832276
2024-10-02,7.2059402
2024-10-03,6.6472726
2024-10-04,6.8653107
2024-10-05,7.196224
