datetime,predicted_consumo
2024-01-01,6.261345950328224
2024-01-02,5.147573317850961
2024-01-03,6.351608813828988
2024-01-04,6.607506871819935
2024-01-05,6.643170340094486
2024-01-06,6.678900890050835
2024-01-07,6.509329444387864
2024-01-08,6.65545814565701
2024-01-09,6.511769494018966
2024-01-10,6.644768122381875
2024-01-11,6.784574577606602
2024-01-12,6.686282942861593
2024-01-13,6.425975956464863
2024-01-14,6.365389007750331
2024-01-15,5.139434127896981
2024-01-16,5.097401459350853
2024-01-17,5.049031423596401
2024-01-18,6.437794266757686
2024-01-19,6.734354344493796
2024-01-20,6.6455306483794665
2024-01-21,6.584763525236854
2024-01-22,6.56549931407871
2024-01-23,6.582472204367315
2024-01-24,6.6773997927652955
2024-01-25,6.9023481738696235
2024-01-26,6.809197297946668
2024-01-27,6.8019727345937655
2024-01-28,6.62231926336055
2024-01-29,6.902931007037737
2024-01-30,6.8917701651017715
2024-01-31,6.865725421839304
2024-02-01,6.803735946468293
2024-02-02,6.745773804042244
2024-02-03,6.6651337332147875
2024-02-04,6.805175124566466
2024-02-05,7.0404093716824585
2024-02-06,7.07191748755059
2024-02-07,6.951848935873756
2024-02-08,6.965905784141974
2024-02-09,7.002444743497565
2024-02-10,7.066581327711309
2024-02-11,7.058462722193952
2024-02-12,7.087268867786135
2024-02-13,7.034493032685439
2024-02-14,6.842853220602683
2024-02-15,6.9765757977734095
2024-02-16,6.881128312504623
2024-02-17,7.008372947454615
2024-02-18,6.990185404329866
2024-02-19,6.956696598997358
2024-02-20,7.002386617109044
2024-02-21,6.920041029827882
2024-02-22,7.04914727290536
2024-02-23,6.878387973674602
2024-02-24,7.1627832953861255
2024-02-25,7.040615840148981
2024-02-26,6.974863360526212
2024-02-27,6.989712970242973
2024-02-28,6.890699123400882
2024-02-29,7.1533205275639276
2024-03-01,6.698911125884277
2024-03-02,6.559725538855082
2024-03-03,6.504765836080938
2024-03-04,6.925648169750658
2024-03-05,6.963370125878052
2024-03-06,7.003562866486936
2024-03-07,7.0202717013002625
2024-03-08,7.009717406061429
2024-03-09,6.957962255240289
2024-03-10,6.877322110437465
2024-03-11,7.062655145300926
2024-03-12,7.1109760976615215
2024-03-13,7.020282331403272
2024-03-14,6.985904143053983
2024-03-15,6.9441927894844575
2024-03-16,6.841630948512317
2024-03-17,6.70248045117474
2024-03-18,6.980147820907738
2024-03-19,6.958776191169805
2024-03-20,6.576983685051261
2024-03-21,6.611166491825646
2024-03-22,6.6547534373520225
2024-03-23,6.53611912548372
2024-03-24,6.534484989314702
2024-03-25,6.61828843623994
2024-03-26,6.715542834188897
2024-03-27,7.823024341183036
2024-03-28,7.822091516711646
2024-03-29,7.879730312280259
2024-03-30,7.825053527838788
2024-03-31,7.712156569803573
2024-04-01,7.25323647696506
2024-04-02,7.290841039155534
2024-04-03,7.271681207457343
2024-04-04,7.266052552574735
2024-04-05,7.341618552820438
2024-04-06,7.342750694127483
2024-04-07,7.2990441916785755
2024-04-08,7.279401778833336
2024-04-09,7.283606876809899
2024-04-10,7.305217478397817
2024-04-11,7.247238574244379
2024-04-12,7.102508134672624
2024-04-13,7.22113290198595
2024-04-14,7.212476811758929
2024-04-15,7.130911308132171
2024-04-16,7.097136419154492
2024-04-17,7.143262028357369
2024-04-18,7.080392960094473
2024-04-19,7.120936915838459
2024-04-20,6.996848350522819
2024-04-21,7.172901737769348
2024-04-22,7.208475316760914
2024-04-23,7.283225859856356
2024-04-24,7.25815380013407
2024-04-25,7.285374512023518
2024-04-26,7.185096054567668
2024-04-27,7.159500504077878
2024-04-28,7.174494321269849
2024-04-29,7.204189063064487
2024-04-30,7.2272358810074415
2024-05-01,7.0705695537946465
2024-05-02,7.120484630672126
2024-05-03,7.1101699927881965
2024-05-04,7.086801391303078
2024-05-05,7.110079010016867
2024-05-06,7.0959622042504975
2024-05-07,7.162260023387899
2024-05-08,7.059236785879963
2024-05-09,7.090944440480041
2024-05-10,7.0334052693506965
2024-05-11,7.007890849497524
2024-05-12,7.040194721602186
2024-05-13,7.109858145576226
2024-05-14,6.4986065031316995
2024-05-15,6.333794118651538
2024-05-16,6.409581727137156
2024-05-17,6.418646655666919
2024-05-18,6.315763245890878
2024-05-19,6.392485091960731
2024-05-20,6.2783683230436536
2024-05-21,5.889172821673034
2024-05-22,5.907885708816801
2024-05-23,5.95389791394891
2024-05-24,6.163099409084145
2024-05-25,6.138640700181549
2024-05-26,6.020935919799268
2024-05-27,5.863577990627979
2024-05-28,5.881607166745451
2024-05-29,5.954975578654707
2024-05-30,5.951712540377917
2024-05-31,6.037571592985204
2024-06-01,6.130560007135763
2024-06-02,5.940790502034224
2024-06-03,6.377479588482512
2024-06-04,6.4619799739505615
2024-06-05,6.540910365781515
2024-06-06,6.603682817590712
2024-06-07,6.53969168912998
2024-06-08,6.5928730471280765
2024-06-09,6.450782674354333
2024-06-10,6.581285634826822
2024-06-11,6.588753554673962
2024-06-12,6.630067766176523
2024-06-13,6.594846528594613
2024-06-14,6.553258705123962
2024-06-15,6.22390735454398
2024-06-16,6.06853679020436
2024-06-17,6.037856039835483
2024-06-18,6.14880024197892
2024-06-19,6.0908114300071965
2024-06-20,6.119198958480986
2024-06-21,6.144259136467346
2024-06-22,6.120162136957341
2024-06-23,6.021377455270341
2024-06-24,6.0704693907462035
2024-06-25,5.98974002602323
2024-06-26,5.9625879525424965
2024-06-27,6.06363605957782
2024-06-28,6.148296275783316
2024-06-29,6.176924630365743
2024-06-30,6.030254379487352
2024-07-01,6.088641997072423
2024-07-02,6.023342665574817
